"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",3916640,10000,100,100,0,0.25,1,0.0108,0.00813743762725904,0.013462562372741,0.0487,0.0444812936141988,0.0529187063858012,0.0974,0.0925225475371768,0.102277452462823,974,487,108
"CVM","Exp",155147,10000,100,100,0,0.125,1,0.0099,0.00734963120325236,0.0124503687967476,0.0483,0.0440977714272543,0.0525022285727457,0.1026,0.0976084823022351,0.107591517697765,1026,483,99
"CVM","Exp",26857365,10000,100,100,0.5,1,0,0.9986,0.997636823989136,0.999563176010864,1,1,1,1,1,1,10000,10000,9986
"CVM","Exp",40584,10000,100,100,0.5,0.5,0,0.6183,0.605785700000338,0.630814299999662,0.8545,0.847588956897834,0.861411043102166,0.9325,0.928372926447303,0.936627073552697,9325,8545,6183
"CVM","Exp",4101339,10000,100,100,0.5,0.25,0,0.1167,0.108429430758458,0.124970569241542,0.3046,0.29557933896134,0.31362066103866,0.4406,0.432433247771415,0.448766752228585,4406,3046,1167
"CVM","Exp",1737353,10000,100,100,0.5,0.125,0,0.0244,0.02042555338694,0.02837444661306,0.1083,0.102209125053196,0.114390874946804,0.1897,0.18325055286627,0.19614944713373,1897,1083,244
"CVM","Exp",233125,10000,100,100,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",225036076,10000,100,100,1,0.5,0,0.9987,0.997771813901281,0.99962818609872,1,1,1,1,1,1,10000,10000,9987
"CVM","Exp",69692,10000,100,100,1,0.25,0,0.6144,0.601861661949809,0.626938338050191,0.8597,0.852892958940509,0.866507041059491,0.9316,0.927447509064718,0.935752490935282,9316,8597,6144
"CVM","Exp",355583,10000,100,100,1,0.125,0,0.1243,0.115801170868468,0.132798829131532,0.3075,0.298455417588412,0.316544582411588,0.4429,0.43472880976216,0.45107119023784,4429,3075,1243
"CVM","Exp",307166,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",286647,10000,100,100,1.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",87097190,10000,100,100,1.5,0.25,0,0.9577,0.952515214593052,0.962884785406948,0.9938,0.992261486142539,0.995338513857461,0.9985,0.99786337224819,0.99913662775181,9985,9938,9577
"CVM","Exp",640245,10000,100,100,1.5,0.125,0,0.3282,0.316104184695632,0.340295815304368,0.6074,0.59782875104292,0.61697124895708,0.7459,0.738738425100093,0.753061574899907,7459,6074,3282
"CVM","Exp",103150,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",73485,10000,100,100,2,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",34587586,10000,100,100,2,0.25,0,0.9991,0.998327547838281,0.999872452161719,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9991
"CVM","Exp",54244,10000,100,100,2,0.125,0,0.6161,0.603572035353726,0.628627964646274,0.8545,0.847588956897834,0.861411043102166,0.9277,0.923439713271648,0.931960286728352,9277,8545,6161
"CVM","Exp",28102,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",13734710,10000,100,100,2.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",29687975,10000,100,100,2.5,0.25,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",1022218,10000,100,100,2.5,0.125,0,0.8507,0.841519549802816,0.859880450197184,0.9661,0.962552952849707,0.969647047150293,0.9875,0.98567236502294,0.989327634977061,9875,9661,8507
"CVM","Exp",265643886,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",1381585,10000,100,100,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",3327758,10000,100,100,5,0.25,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",518425,10000,100,100,5,0.12,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"CVM","Exp",189415,10000,100,100,0,1.5,1,0.0111,0.00840112023907993,0.0137988797609201,0.0532,0.0488011311679478,0.0575988688320522,0.1002,0.0952606163769252,0.105139383623075,1002,532,111
"CVM","Exp",58952965,10000,100,100,0.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",1380933,10000,100,100,1,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",53641,10000,100,100,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",6836710,10000,100,100,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",659914,10000,100,100,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",27429890,10000,100,100,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",7346785,10000,10,100,0,1,1,0.008,0.00570519024021598,0.010294809759784,0.0474,0.043235138816431,0.051564861183569,0.0965,0.0916427144288837,0.101357285571116,965,474,80
"CVM","Exp",8184121,10000,10,100,0,0.5,1,0.01,0.00743691236201335,0.0125630876379867,0.0489,0.0446730842489588,0.0531269157510412,0.098,0.0931091740380586,0.102890825961941,980,489,100
"CVM","Exp",1178538,10000,10,100,0,0.25,1,0.01,0.00743691236201335,0.0125630876379867,0.0498,0.0455363823068197,0.0540636176931803,0.1013,0.0963366146349719,0.106263385365028,1013,498,100
"CVM","Exp",24850368,10000,10,100,0,0.125,1,0.0095,0.00700118041435561,0.0119988195856444,0.047,0.0428518786710126,0.0511481213289874,0.092,0.0872455231160516,0.0967544768839484,920,470,95
"CVM","Exp",73287,10000,10,100,0.5,1,0,0.3512,0.338903584409095,0.363496415590905,0.569,0.559293764156997,0.578706235843003,0.6818,0.67413795870359,0.68946204129641,6818,5690,3512
"CVM","Exp",25641929,10000,10,100,0.5,0.5,0,0.1049,0.0970065042158861,0.112793495784114,0.2472,0.238744873496771,0.255655126503229,0.3483,0.340462699480448,0.356137300519552,3483,2472,1049
"CVM","Exp",292466748,10000,10,100,0.5,0.25,0,0.0347,0.0299854336819156,0.0394145663180844,0.1081,0.102014069334736,0.114185930665264,0.1801,0.17377874657572,0.18642125342428,1801,1081,347
"CVM","Exp",2338972,10000,10,100,0.5,0.125,0,0.0161,0.0128578412422733,0.0193421587577267,0.0668,0.0619063639406266,0.0716936360593734,0.1306,0.125056968984112,0.136143031015888,1306,668,161
"CVM","Exp",53662,10000,10,100,1,1,0,0.818,0.808060644951628,0.827939355048372,0.9268,0.921694895640479,0.931905104359521,0.9593,0.956049573656461,0.962550426343539,9593,9268,8180
"CVM","Exp",53586031,10000,10,100,1,0.5,0,0.3557,0.343368047110868,0.368031952889132,0.5645,0.5547818829828,0.5742181170172,0.6761,0.668402018833098,0.683797981166902,6761,5645,3557
"CVM","Exp",67133504,10000,10,100,1,0.25,0,0.1015,0.0937207465608582,0.109279253439142,0.2361,0.227776186904645,0.244423813095355,0.3373,0.32952263362392,0.34507736637608,3373,2361,1015
"CVM","Exp",340082,10000,10,100,1,0.125,0,0.0349,0.0301723563916657,0.0396276436083343,0.1092,0.103086956380198,0.115313043619802,0.1811,0.174765088340713,0.187434911659287,1811,1092,349
"CVM","Exp",820817,10000,10,100,1.5,1,0,0.9651,0.960372356391666,0.969827643608334,0.9909,0.989038805837533,0.992761194162467,0.9967,0.995756579951042,0.997643420048958,9967,9909,9651
"CVM","Exp",22936,10000,10,100,1.5,0.5,0,0.6306,0.618167133010988,0.643032866989012,0.8064,0.798655667207151,0.814144332792849,0.8782,0.872819950607299,0.883580049392701,8782,8064,6306
"CVM","Exp",230324,10000,10,100,1.5,0.25,0,0.219,0.208346472456205,0.229653527543795,0.4062,0.396573994011554,0.415826005988446,0.526,0.517786127727436,0.534213872272564,5260,4062,2190
"CVM","Exp",14386873,10000,10,100,1.5,0.125,0,0.0619,0.0556925139652139,0.0681074860347861,0.1695,0.16214621817294,0.17685378182706,0.2572,0.250009860243611,0.264390139756389,2572,1695,619
